Shipment Date,CountryName,Product,BDS$_Value
02-May-18,United States,RUM,"$67,397.70"
02-May-18,United States,SAILS,"$10,860.34"
02-May-18,United States,SAILS,$602.00
02-May-18,United States,SAILS,"$4,065.26"
02-May-18,United States,SAILS,"$2,336.80"
02-May-18,United States,SAILS,"$18,567.18"
02-May-18,United States,SAILS,"$1,286.80"
02-May-18,United States,RUM,"$148,245.58"
02-May-18,United States,RUM,"$61,145.60"
02-May-18,United States,RUM,"$23,012.28"
02-May-18,United States,RUM,"$224,773.44"
02-May-18,United States,RUM,"$537,752.54"
02-May-18,United States,RUM,"$189,755.50"
02-May-18,United States,RUM,"$67,172.18"
02-May-18,Canada,RUM,"$222,550.70"
02-May-18,Canada,RUM,"$59,368.32"
07-May-18,United States,BREADFRUIT,"$2,400.00"
07-May-18,United States,SWEETENED BISCUITS,"$92,656.00"
07-May-18,United States,RESISTORS,"$213,867.92"
07-May-18,Canada,BREADFRUIT,"$8,000.00"
08-May-18,United States,SAILS,"$14,117.20"
08-May-18,United States,SAILS,"$6,526.44"
08-May-18,United States,SAILS,"$2,044.64"
08-May-18,United States,SAILS,"$19,643.44"
08-May-18,United States,SAILS,"$20,566.56"
08-May-18,United States,SAILS,$780.00
08-May-18,United States,SAILS,$920.00
08-May-18,Canada,RUM,"$47,662.56"
08-May-18,Canada,RUM,"$102,366.00"
08-May-18,Canada,RUM,"$186,906.60"
09-May-18,United States,RUM,"$123,027.82"
09-May-18,United States,RUM,"$226,584.24"
09-May-18,United States,RUM,"$360,079.16"
09-May-18,Canada,RUM,"$224,769.20"
10-May-18,United States,RESISTORS,"$105,041.94"
10-May-18,Canada,SWEETENED & UNSWEETENED BISCUITS,"$35,935.00"
11-May-18,United States,CHOCOLATE,"$3,672.00"
14-May-18,United States,BREADFRUIT,"$2,400.00"
14-May-18,United States,UNSWEETENED BISCUITS,"$90,543.20"
14-May-18,United States,RUM,"$170,971.78"
14-May-18,Canada,CUT FLOWERS,"$1,006.00"
14-May-18,Canada,CUT FLOWERS,"$1,109.60"
15-May-18,United States,FRUTEE,"$21,530.00"
15-May-18,United States,SAILS,"$7,047.72"
15-May-18,United States,SAILS,"$3,330.00"
15-May-18,United States,SAILS,"$2,423.00"
15-May-18,United States,SAILS,"$8,780.70"
15-May-18,United States,SAILS,"$10,201.04"
15-May-18,United States,SAILS,"$2,200.00"
15-May-18,United States,SAILS,"$1,683.20"
15-May-18,United States,RESISTORS,"$177,306.98"
15-May-18,Canada,SAILS,"$3,040.00"
15-May-18,Canada,SAILS,"$3,330.00"
16-May-18,United States,RUM,"$148,811.26"
16-May-18,United States,RUM,"$224,025.40"
16-May-18,Canada,RUM,"$149,013.60"
18-May-18,United States,BREADFRUIT,"$2,500.00"
18-May-18,United States,PONCHE KUBA CREAM LIQUEUR,"$273,978.58"
18-May-18,United States,RUM,"$166,413.88"
18-May-18,Canada,RUM,"$224,365.48"
18-May-18,Canada,BREADFRUIT,"$4,000.00"
22-May-18,United States,BREADFRUIT,"$7,500.00"
22-May-18,United States,USED VEGETABLE OIL,"$1,200.00"
22-May-18,Canada,BREADFRUIT,"$24,000.00"
23-May-18,United States,SAILS,"$11,560.00"
23-May-18,United States,SAILS,"$3,028.16"
23-May-18,United States,SAILS,"$14,390.06"
23-May-18,United States,SAILS,"$2,767.00"
23-May-18,United States,SAILS,"$10,700.00"
23-May-18,Canada,SAILS,"$6,333.00"
24-May-18,Canada,CUT FLOWERS,"$1,696.50"
24-May-18,Canada,CUT FLOWERS,"$1,871.40"
29-May-18,United States,SAILS,"$15,810.94"
29-May-18,United States,SAILS,"$4,420.00"
29-May-18,United States,SAILS,$775.48
29-May-18,United States,SAILS,"$35,633.20"
29-May-18,United States,SAILS,"$2,591.20"
29-May-18,United States,SAILS,"$3,567.66"
29-May-18,United States,RUM,"$226,353.78"
29-May-18,United States,RESISTORS,"$384,659.24"
29-May-18,Canada,SAILS,$610.00
29-May-18,Canada,SAILS,"$5,093.00"
30-May-18,United States,MAUBY SYRUP,"$43,467.50"
01-Jun-18,United States,SEASONINGS,"$16,824.16"
01-Jun-18,United States,RUM,"$540,336.34"
01-Jun-18,United States,RUM,"$185,633.62"
01-Jun-18,United States,RUM,"$55,480.98"
01-Jun-18,Canada,RUM,"$102,450.60"
04-Jun-18,United States,RUM,"$224,773.44"
04-Jun-18,United States,RUM,"$73,152.00"
04-Jun-18,Canada,RUM,"$224,769.20"
05-Jun-18,United States,SWEETENED BISCUITS,"$91,768.00"
06-Jun-18,United States,SAILS,"$3,414.56"
06-Jun-18,United States,SAILS,"$14,393.14"
06-Jun-18,United States,SAILS,"$2,192.80"
06-Jun-18,United States,SAILS,"$1,093.04"
06-Jun-18,United States,SAILS,"$2,082.00"
06-Jun-18,United States,SAILS,"$2,586.26"
06-Jun-18,United States,RESISTORS,"$434,346.76"
06-Jun-18,Canada,SAILS,"$2,378.80"
06-Jun-18,Canada,SAILS,"$3,770.00"
07-Jun-18,United States,SAILS,"$7,650.00"
07-Jun-18,United States,SAILS,"$2,299.80"
07-Jun-18,United States,PONCHE KUBA CREAM LIQUEUR,"$185,909.68"
07-Jun-18,United States,RUM,"$361,360.16"
07-Jun-18,Canada,RUM,"$90,145.90"
08-Jun-18,Canada,SWEETENED & UNSWEETENED BISCUITS,"$34,945.00"
11-Jun-18,United States,RUM,"$67,133.00"
11-Jun-18,United States,RUM,"$55,958.02"
11-Jun-18,Canada,RUM,"$58,496.18"
12-Jun-18,United States,RESISTORS,"$67,379.46"
12-Jun-18,United States,RESISTORS,"$118,851.52"
13-Jun-18,United States,SAILS,"$3,369.76"
13-Jun-18,United States,SAILS,"$2,582.74"
13-Jun-18,United States,SAILS,"$2,566.32"
13-Jun-18,United States,SAILS,"$1,841.46"
13-Jun-18,United States,SAILS,"$10,422.90"
13-Jun-18,United States,SAILS,"$7,565.06"
13-Jun-18,United States,SAILS,"$5,042.00"
15-Jun-18,United States,SEASONINGS,"$3,626.00"
15-Jun-18,United States,RUM,"$36,576.00"
15-Jun-18,Canada,RUM,"$224,769.20"
15-Jun-18,Canada,CUT FLOWERS,"$2,262.00"
15-Jun-18,Canada,CUT FLOWERS,"$2,495.20"
18-Jun-18,United States,FRUTEE,"$24,400.00"
18-Jun-18,United States,SWEETENED BISCUITS,"$95,948.00"
18-Jun-18,United States,SWEETENED BISCUITS,"$91,506.00"
19-Jun-18,United States,SAILS,"$9,710.00"
19-Jun-18,United States,BREADFRUIT CHIPS,"$3,636.00"
19-Jun-18,United States,SAILS,"$5,752.00"
19-Jun-18,United States,SAILS,"$1,016.82"
19-Jun-18,United States,SAILS,"$5,059.14"
19-Jun-18,United States,SAILS,"$5,957.50"
19-Jun-18,United States,SAILS,"$8,619.00"
19-Jun-18,United States,SAILS,"$5,517.38"
19-Jun-18,United States,SAILS,"$10,060.00"
19-Jun-18,United States,SAILS,"$1,560.40"
19-Jun-18,United States,PONCHE KUBA CREAM LIQUEUR,"$180,690.48"
19-Jun-18,United States,RUM,"$316,546.16"
20-Jun-18,United States,RUM,"$67,480.30"
20-Jun-18,United States,PONCHE KUBA CREAM LIQUEUR,"$249,321.28"
20-Jun-18,Canada,RUM,"$135,194.14"
21-Jun-18,United States,FRUTEE,"$26,389.00"
21-Jun-18,Canada,RUM,"$149,268.00"
22-Jun-18,United States,FRUTEE,"$1,560.00"
22-Jun-18,Canada,RUM,"$240,195.68"
25-Jun-18,United States,RUM,"$11,487.38"
25-Jun-18,United States,RUM,"$224,934.28"
25-Jun-18,United States,RESISTORS,"$140,173.66"
25-Jun-18,Canada,RUM,"$154,134.50"
26-Jun-18,United States,SAILS,"$2,490.00"
26-Jun-18,United States,SAILS,"$1,634.00"
26-Jun-18,United States,SAILS,"$1,761.86"
26-Jun-18,United States,SAILS,"$9,590.44"
26-Jun-18,United States,SAILS,"$4,556.02"
26-Jun-18,United States,SAILS,"$3,316.28"
26-Jun-18,United States,SAILS,"$2,571.00"
26-Jun-18,United States,SAILS,"$9,514.80"
26-Jun-18,Canada,SAILS,"$1,004.00"
27-Jun-18,United States,PEPPERSAUCE,"$3,608.00"
27-Jun-18,Canada,RUM,"$127,429.60"
28-Jun-18,United States,RUM,"$4,800.00"
28-Jun-18,United States,LABELS,"$9,067.48"
28-Jun-18,United States,RESISTORS,"$210,598.18"
29-Jun-18,United States,RESISTORS,"$157,979.32"
03-Jul-18,United States,SAILS,"$6,123.14"
03-Jul-18,United States,SAILS,"$7,222.52"
03-Jul-18,United States,SAILS,"$4,897.18"
03-Jul-18,United States,SAILS,"$3,239.40"
03-Jul-18,United States,SAILS,"$16,998.06"
03-Jul-18,United States,SAILS,"$4,867.26"
03-Jul-18,United States,SAILS,"$10,461.34"
03-Jul-18,United States,SAILS,"$2,160.00"
04-Jul-18,United States,LABELS,$227.88
05-Jul-18,United States,RUM,"$357,250.16"
06-Jul-18,United States,SWEETENED BISCUITS,"$73,496.00"
06-Jul-18,United States,RUM,"$233,920.48"
09-Jul-18,United States,SWEETENED BISCUITS,"$94,494.50"
10-Jul-18,United States,SAILS,"$19,682.80"
10-Jul-18,United States,SAILS,"$6,221.90"
10-Jul-18,United States,SAILS,"$4,867.16"
10-Jul-18,United States,SAILS,"$3,444.16"
10-Jul-18,United States,RUM,"$73,152.00"
11-Jul-18,United States,ESSENCES,"$7,870.00"
11-Jul-18,United States,KOLA TONIC,"$6,310.00"
11-Jul-18,United States,RUM,"$67,076.54"
11-Jul-18,United States,RESISTORS,"$97,640.28"
11-Jul-18,Canada,MAUBY SYRUP,"$23,778.40"
12-Jul-18,United States,RESISTORS,"$261,810.08"
13-Jul-18,United States,FRUTEE,"$17,925.00"
13-Jul-18,United States,SWEETENED BISCUITS,"$94,841.00"
13-Jul-18,United States,RUM,"$275,842.16"
13-Jul-18,Canada,CUT FLOWERS,"$1,006.00"
13-Jul-18,Canada,RUM,"$119,285.10"
13-Jul-18,Canada,RUM,"$55,663.28"
13-Jul-18,Canada,CUT FLOWERS,"$1,109.60"
